,precision,recall,f1-score,support
Bất động sản,0.9185185185185185,0.9841269841269841,0.9501915708812261,126.0
Công nghệ,0.9196428571428571,0.9196428571428571,0.9196428571428571,112.0
Du lịch,0.8992248062015504,0.9354838709677419,0.9169960474308301,124.0
Giáo dục,0.9747899159663865,0.9747899159663865,0.9747899159663865,119.0
Giải trí,0.944,0.9752066115702479,0.959349593495935,121.0
Khoa học,0.963963963963964,0.9224137931034483,0.9427312775330396,116.0
Kinh doanh,0.9008264462809917,0.8515625,0.8755020080321285,128.0
Pháp luật,0.9212598425196851,0.9212598425196851,0.9212598425196851,127.0
Sức khỏe,0.9312977099236641,0.9606299212598425,0.9457364341085271,127.0
Thế giới,0.9596774193548387,0.952,0.9558232931726908,125.0
Thể thao,0.9836065573770492,0.975609756097561,0.9795918367346939,123.0
Thời sự,0.888,0.8345864661654135,0.8604651162790697,133.0
Ý kiến,0.968,0.983739837398374,0.9758064516129032,123.0
Đời sống,0.8760330578512396,0.8617886178861789,0.8688524590163934,123.0
accuracy,0.931673422119282,0.931673422119282,0.931673422119282,0.931673422119282
macro avg,0.9320600782214817,0.9323457838717657,0.9319099074233118,1727.0
weighted avg,0.9315141711052995,0.931673422119282,0.9312942530496043,1727.0
