,precision,recall,f1-score,support
Bất động sản,0.9185185185185185,0.9841269841269841,0.9501915708812261,126.0
Công nghệ,0.9196428571428571,0.9196428571428571,0.9196428571428571,112.0
Du lịch,0.905511811023622,0.9274193548387096,0.9163346613545816,124.0
Giáo dục,0.9747899159663865,0.9747899159663865,0.9747899159663865,119.0
Giải trí,0.9444444444444444,0.9834710743801653,0.9635627530364372,121.0
Khoa học,0.9553571428571429,0.9224137931034483,0.9385964912280702,116.0
Kinh doanh,0.9,0.84375,0.8709677419354839,128.0
Pháp luật,0.921875,0.9291338582677166,0.9254901960784314,127.0
Sức khỏe,0.9384615384615385,0.9606299212598425,0.9494163424124513,127.0
Thế giới,0.9596774193548387,0.952,0.9558232931726908,125.0
Thể thao,0.9836065573770492,0.975609756097561,0.9795918367346939,123.0
Thời sự,0.888,0.8345864661654135,0.8604651162790697,133.0
Ý kiến,0.968,0.983739837398374,0.9758064516129032,123.0
Đời sống,0.8770491803278688,0.8699186991869918,0.8734693877551021,123.0
accuracy,0.9322524609148813,0.9322524609148813,0.9322524609148813,0.9322524609148813
macro avg,0.9324953132481619,0.9329451798524607,0.9324391868278846,1727.0
weighted avg,0.9320017821604772,0.9322524609148813,0.9318386911796677,1727.0
